plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling
70,L,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,EL,future,O,3,,,,,,,,,2?,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
71,EL,future,I,,,,,,,,,,,,,,,,,,,,,2,,,,,1,3,,,,,,,,,,,
72,E,future,O,2,,,,,,,,,,,2,,,,,,,,,1,,,,,,2,,,,,,,,,,,
72,E,future,I,1,,,,,,,,,,,1,,,,,,,,,4,,,,,,3,,,,,,,,,,,
73,C,ambient,O,,1,,,,,,1,1,,,1,,,,,,2,,,1,,,,,11,,,,,,3,,4,,,,1
73,C,ambient,I,,1,,,,,,1,,,,,,,,2,,1,,,,,,,,1,,1,,,,,,,18,,,
74,L,ambient,O,,,,,,,,,,,,,,,,,,,,,1,,,1,,3,,1,,,,,,,,,,2
74,L,ambient,I,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,
75,E,ambient,O,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
75,E,ambient,I,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
76,EL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,EL,ambient,I,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
77,F,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,F,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
78,FL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,FL,ambient,I,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,,,,
79,EFL,ambient,O,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
79,EFL,ambient,I,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,EF,ambient,O,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
80,EF,ambient,I,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
